id,keyword,location,text,target
10762,wreckage,Canada,TOP STORY: wreckage from #MH370 officially confirmed. @janisctv reports on the critical clue from a tiny island. http://t.co/hlWw2P5k9o,1
4229,drowned,California USA,Tried my 1st #beastburger by #beyondmeat.  nowhere near what i thought based on hype. Drowned in ketchup wasnt bad but w/dijon it sucked.,0
7353,obliterate,,@BattyAfterDawn @DrawLiomDraw he's a good cute.  The kind of cute I want to obliterate.,0
8151,rescuers,Worldwide,VIDEO: 'We're picking up bodies from water': Rescuers are searching for hundreds of migrants in the Mediterran... http://t.co/WvMHX5tiel,1
3934,devastated,toronto Û¢ unicorn island ,@humblethepoet Lilly's YouTube channel got hacked. She's devastated. We're all worried about her! ??,0
2011,casualties,Ellixton London's 33rd Borough,Warfighting Robots Could Reduce Civilian Casualties So Calling for a Ban Now Is Premature http://t.co/yvYgTcAz7k,1
6249,hijacking,china,#hot  Funtenna: hijacking computers to send data as sound waves [Black Hat 2015] http://t.co/RaPaDCea1w #prebreak #best,1
692,attack,United Kingdom,@Sunnyclaribel. how many of @DPJHodges articles just attack labour or defend conservatives? see for yourself: http://t.co/shAAIjO2ZC,0
6475,injured,"Richmond, VA, USA",@Braves_Ninja @david_brelsford For Freddie before being injured this year it was a great deal,0
300,annihilated,,The bartender at work described a drunk man as annihilated @kdunning1919 @hsnowberger @gabrielasmith29. 16 more days,0
5977,hazard,"Sydney, Australia",@SuperBobbyPires Hazard Ronaldo Cantona Pepe and all those who lashed out before him.,0
90,ablaze,"121 N La Salle St, Suite 500",'Burning Rahm': Let's hope City Hall builds a giant wooden mayoral effigy 100 feet tall &amp; sets it ablaze. http://t.co/kFo2mksn6Y @John_Kass,0
9129,suicide%20bomb,Nigeria,#Bestnaijamade: 16yr old PKK suicide bomber who detonated bomb in ... http://t.co/KSAwlYuX02 bestnaijamade bestnaijamade bestnaijamade beÛ_,1
1782,buildings%20on%20fire,?arsehole squad?,@blainescronuts thats what i would do if there were buildings on fire,0
1732,buildings%20burning,,@CTVKathyLe and in other news: don't run into burning buildings,0
1310,bloody,Earthrealm,Just because of his 'precious lunch' ??? Bloody hell no brain issit??  https://t.co/X5dwKElReo,0
6521,injuries,"Phoenix, AZ",Let's be thankful most of these injuries are minor &amp; it's still camp. Relax a little #birdgang. No one is cursed &amp; no injury bug hit.,1
5026,eyewitness,,@EdmundAdamus @CampionJoanne Pres Carter's notes in '79 meeting w/ JPII show Latin on his mind http://t.co/7nt13HIrTK http://t.co/4gCmQ4oWen,0
10435,wild%20fires,Toronto,#HarperANetflixShow  Blazing Saddles  (a show about wild fires in Alberta),1
4422,electrocute,beyond time and space,SPOILERS: your phone does not have the power to electrocute you if dropped in the bath,1
7911,rainstorm,nipple squad makes me happy,DOES ANYONE REMEMBER WHEN 5SOS CAME W 1D ON THE TMH TOUR WE HAD A GIANT RAINSTORM AND LAST NIGHT WE HAD ONE ALSO. @5SOS STOP BRINING RAIN,1
10362,weapons,,"??Water fight?? Penn park 6pm BYOW (Bring Your Own Weapons)",0
7729,panicking,,@Sawyer_DAA @GuerrillaDawg worst feel in DS when u panicking during  boss fight and you chug two estus and the boss kills you while u drink,0
9398,survivors,"Melbourne, Australia",The Cafe Run by Acid Attack Survivors in #India http://t.co/XtVRJMRREs http://t.co/ndvlAPJvQL,1
9570,thunder,,was that thunder?,1
230,airplane%20accident,#BlackLivesMatter,@thugIauren I had myself on airplane mode by accident ??,0
3878,detonation,,Detonation fashionable mountaineering electronic watch water-resistant couples leisure tabÛ_ http://t.co/RqOvPljpse http://t.co/UhKwVSoWSt,0
1291,bloody,,Too bloody hot in my room,0
3213,deluged,,Businesses cre deluged with invoices. Make yours stand out with colour or shape and it's likely to rise to the top of the pay' cile.,0
8811,sirens,"Berisso, Argentina",pos nose que hago escuchando Sleeping With Sirens - Iris (Goo Goo Dolls Cover) KE PEDO ._.,0
10674,wounds,"Dallas, TX",What they (dentists) don't tell u is how much ur mouth will be in pain when the numbing wears off because of the puncture wounds in ur gums.,1
4187,drown,East Coast ,drown me in clementines,0
3491,derailed,"Alexandria, VA, USA",Oh a #wmata train derailed. Kind of disappointed how unsurprised I am.,1
8820,sirens,,There was also a calm. Something was going to happen. Suddenly a crash of lightning came through the sky and with it the wails of sirens. --,0
2989,dead,Nigeria,411Naija åÈ Flood: Two people dead 60 houses destroyed in Kaduna http://t.co/yAvL49DoOF,1
2156,catastrophe,"Illinois, USA",Two shows I've loved this summer - Catastrophe and Unreal,0
6290,hostage,"Limerick, Ireland.","Oh god Diane is following them to the hostage exchange in a taxi. 
#RandomActsOfRomance",0
6671,landslide,"New Delhi, Delhi",@preeti_chopra2 @chinmaykrvd many predicted landslide for nitish nd told bjp will loose bihar nd won't even get upper castes votes,0
1674,bridge%20collapse,"London, United Kingdom",BREAKING NEWS: Australia collapse to a hapless 60 all out at Trent Bridge http://t.co/O2CFWDzZld,0
9784,trapped,,"Then @slrqxcrls on this trapped out evil monster! https://t.co/n3I79QLBsS",0
1797,buildings%20on%20fire,,Buildings on fire behind Tisa's in Niceville @tristapnwfdn https://t.co/ACl1baBacR,1
4340,dust%20storm,The Universe,Kids Disappear in Dust Storm in Atmospheric Aussie Thriller http://t.co/iR7VaxehEW RT @Newz_Sacramento,0
10196,violent%20storm,Worldwide,"Violent Forces Radio: Now Playing Axegressor - Psalm Before the Storm TuneIn Player @ http://t.co/XsSgEdSbH4",0
10493,wildfire,USA,Finger Rock wildfire grows to 500 acres #Tucson http://t.co/zSXGEI1Nxf,1
988,blazing,Paradise ,the bitches say im hot i say no bitch im blazing,0
4371,earthquake,in the Word of God,@GreenLacey GodsLove &amp; #thankU my sister for RT of NEW VIDEO http://t.co/cybKsXHF7d The Coming Apocalyptic US Earthquake &amp; Tsunami,0
6131,hellfire,,The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is by giving half a date in charity.',0
8384,ruin,,To respect those who wait to watch #UltimaLucha  any tweets will be spoiler free and not ruin the result. #LuchaUnderground,0
1891,burning,Los Angeles/ Las Vegas/ Boston,@TheVenskus you led a killer workout today @TheSweatShoppe my core is burning. Now #gymtime #worktime #auditiontime #roccotime #noBS,0
6379,hostages,,@Deosl86 That does nit change the fact extracting hostages is pointless,1
4283,drowning,130515 Û¢ Gallavich.,AND I'M DROWNING IN THE DÌäJÌÛ VUUUUU WE'VE SEEN IT ALL BEFOOOOOOOORE,0
7238,natural%20disaster,"Washington, DC area",@jonk @jamucsb Hopefully this vacation *doesn't* include an earthquake or other natural disaster!,0
3382,demolition,Southern California,Seattle's demolition-dodging 'Up' house to live on as affordable housing http://t.co/krGNNXj2sA,1
6155,hijack,"Delta, Nigeria",Tension In Bayelsa As Patience Jonathan Plans To Hijack APC PDP - The Sun http://t.co/VBiGAnIRSJ,0
101,accident,,Just got to love burning your self on a damn curling wand... I swear someone needs to take it away from me cuase I'm just accident prone.,1
3912,devastated,astral plane,@yeetrpan I asked if they were hiring and they said not you I was devastated.,0
8861,smoke,Barnsley,misocapnist: One who hates the smell of tobacco smoke #UnusualWords http://t.co/jMcFFA3TOQ,0
7596,pandemonium,"Lagos,nigeria",Pandemonium In Aba As Woman Delivers Baby Without Face (Photos) http://t.co/s9fJTsGbmd,1
4443,electrocute,Bieber Fever UK,"Why can't robots have a shower? Answer: Because they will electrocute themselves!",0
3371,demolition,cyberspace,Canberra's Currong Apartments marked for demolition in September http://t.co/ZyRR8DzJx6,1
9840,trauma,,Idk how I'm supposed to have my daughter in gymnastics and cheer at the same time? She refuses to make a choice. Ugh DIVA ??,0
4059,displaced,"San Francisco, CA",Next up: a charity program for disadvantaged people displaced by the tech boom in SF based on Tinder technology.  https://t.co/yNVz1WrgtN,1
6927,mass%20murderer,,I am disgusted by @libertarianism and @CatoInstitute for celebrating a mass murderer of innocents today.,1
10225,volcano,"Algonquin, IL",The highlight of my day has been playing with my raw volcano humidifier. #sicklife http://t.co/teDRu4hg3i,0
5697,floods,"Manila, Philippines",Flash floods landslides possible as Hanna draws in more monsoon rains - Pagasa http://t.co/TzWmsEQPHW | via News5 #iBalita,1
5463,flames,,flames everywhere ???? https://t.co/cG9GAkbPta,0
5968,hazard,Chicago,Parents Beware: A Household Hazard that Won't Go Away http://t.co/91eiTHgvDB,1
