id,keyword,location,text,target
555,arson,ITUNES RADIO [Hiphop/Rap],#BreakingNews Mourning notices for stabbing arson victims stir Û÷politics of griefÛª in Israel: Posters f... http://t.co/KTKDrGVHgX #rome,1
8929,snowstorm,Northeast United States ,RT @WhistlerBlckcmb: One more #SnowBackSunday share: Snowstorm on the Glacier July 26 2015! via @momentumcamps http://t.co/JohKyMv9El
4162,drown,,Need to drown in ice cream??,0
5872,hailstorm,Golden British Columbia Canada,Good olde fashioned prairie #hailstorm #calgaryweather https://t.co/hI1yOQFlfm,1
6786,lightning,Northwest Arkansas,It doesn't get any closer. Heavy rain just barely missed @TontitownGrape festival but lightning TOO CLOSE #TGF2015 http://t.co/zMtOp65Kx2,1
5585,flood,New York,2pcs 18W CREE Led Work Light  Offroad Lamp Car Truck Boat Mining 4WD FLOOD BEAM - Full reaÛ_ http://t.co/yo9q6WxweU http://t.co/n581wQqyAS,0
4126,drought,,You can't use as much water in a drought as you can with a flood!,1
8632,seismic,,Here we go....one more Toss with the Seismic boys! With a stellar undercard all killer no filler keep an eye... http://t.co/Xs6aa2c6Jb,0
3801,detonate,"Amsterdam, Worldwide",Track : Apollo Brown - Detonate ft. M.O.P.  |  @ApolloBrown @BILLDANZEMOP @FAMEMOP http://t.co/GR9q1wvi2n http://t.co/k3rEb7iRlc,0
1135,blight,"Cleveland, Ohio",Lots of talk of how susceptible NY2 is to shoot blight with or without trama. #WCFGT2015,0
3378,demolition,"New York, New York",Demolition Means Progress: Flint Michigan and the Fate of the American Metropolis Highsmith https://t.co/fj7p8A1hvM,1
326,annihilated,,"Aug 3 1915ÛÓKAISERJAEGERS WIPED OUT.; Francis Joseph's Crack Regiment Annihilated on Carso Plateau.
http://t.co/D1sPSwl66H",1
6886,mass%20murder,Realville,@Conservatexian Farrakhan calling for 10000 men to rise up &amp; commit mass murder. http://t.co/gV84WNhB7S,1
5546,flattened,,David Ortiz just absolutely flattened that baseball??,0
6895,mass%20murder,,Like bro they just committed a mass murder. You think they're gonna be scared to get guns illegally ????,1
9809,trauma,,Students suffering from trauma ÛÓ like divorce violence &amp; poverty ÛÓ often act out. Schools are trying a new approach. http://t.co/mDaCuJ9W1q,1
9904,traumatised,"Portsmouth, UK",@ibAUTUMN I'm that traumatised that I can't even spell properly! Excuse the typos!,1
43,,,What if?!,0
6433,hurricane,Dublin ,I'm a hurricane.,0
5123,fatal,Gurgaon,11-Year-Old Boy Charged With Manslaughter of Toddler: Report: An 11-year-old boy has been charged with manslaughter over the fatal sh...,1
10713,wreck,,@DukeSkywalker @facialabuse you should do a competetion between @xxxmrbootleg &amp; #ClaudioMeloni (ultimate throat penetrator) to a wreck off.,0
1977,bush%20fires,Dundee,Soaring temperature's in some southern US states causing bush fires pity @scotgov only allow rain in Scotland. #TweetLikeKez,1
5161,fatalities,,@noobde @comingsoonnet YEEESSSS!!!! I will buy him twice!! No KP2 jus release kombatants stages alternate kostumes and fatalities at will,0
1046,bleeding,"London, England",@TomBrevoort 'Bleeding Cool as read by Tom Brevoort. Though he may just look at the pictures.',0
8833,sirens,,Fire truck sirens for the past ten minutes straight coming and going. Must be huge. Maybe it's taco bell and they'll build a Sonic instead.,1
10095,typhoon,,"#WorldNews #World
 Saipan Has No Water Electricity in Typhoon Aftermath - Voice of America - World - Google News.. http://t.co/5sUdXgNdA3",1
6987,massacre,,"TimesNewsdesk : Police link beach massacre to Tunisia museum attack
Û_ http://t.co/g11Rd44rgW) http://t.co/n834UntFf1",1
9518,terrorist,Iraq|Afghanistan| RSA |Baghdad,Tltltltltlttlt @P_Grolsh: Ladies are doing gymnastics in the shower!!! Opening legs wider wololo #MetrofmTalk',0
5121,fatal,,11-Year-Old Boy Charged With Manslaughter of Toddler: Report: An 11-year-old boy has been charged with manslaughter over the fatal sh...,1
6831,loud%20bang,in your dreams,I just heard a really loud bang outside my bedroom door and Im afraid,1
5852,hailstorm,Toronto,RICHIE: This was #Calgary yesterday after a crazy #hailstorm! pics via Calgary Herald http://t.co/1oH20qHk2l,1
7665,panic,they/them or she/her,@puzzledtriangle please inform me of that date because that song very accurately reflects the panic of the week before,1
7064,meltdown,"North Vernon, IN",The U.S. will experience an economic meltdown similar to the early 2000s mortgage shit show due to student loans. You heard it here first ????,0
10282,war%20zone,Canada,The Resistance wages guerrilla warfare against KPA forces in the Red Zone the war-torn outskirts of... http://t.co/WFxAwQvvjr,1
6368,hostages,"my USA, åµ???? ?aÌÙ? ",India: Militant 'Overpowered' By Hostages After Attack http://t.co/mkjszGbaWR,1
9621,thunderstorm,OKC,New event. Severe Thunderstorm Warning from 8/5/2015 9:50 PM to 10:30 PM CDT for Oklahoma County. Mo,1
3943,devastated,,Absolutely devastated ???? no Ross no!! #Emmerdale,0
3630,desolation,,'I See Fire' Ed Sheeran The Hobbit: The Desolation of Smaug (Cover By Ja... https://t.co/a2aeDAK7r0 via @YouTube,0
663,attack,,@RealTwanBrown Yesterday I Had A Heat Attack ???? And What's Funny Our Relationship ??? Or Our Snapchat,0
1268,blood,,Sometimes blood ain't no thicker than water and sometimes family will bring you down quicker than strangers ???????,0
5536,flattened,"Whitley Bay, England","Lustig gets flattened...he should have stayed down longer..

Commons coming on . my guess is GMS coming off...

water break! 0-0  76mins",1
3350,demolished,,@who_mikejoness I hate seeing the boy get fucking demolished like this,0
3444,derail,Washington DC,Do people even ride Metro any more? http://t.co/Nb8yzecI6i #whywebike #bikecommute #DysfunctionalRedLine #WMATA,0
6805,loud%20bang,Kenya,iBliz140: Breaking news! Unconfirmed! I just heard a loud bang nearby. in what appears to be a blast of wind from my neighbour's ass.,0
6333,hostage, Cairo,video says #ISIS Threatens To Kill Croatian Hostage 5oil-worker) If #Egypt Does Not Release Female Prisoners in 48 H http://t.co/GvpKrRdQnu,1
1788,buildings%20on%20fire,Las Vegas,"There are multiple buildings on fire In Downtown Hinton OK.,
The fire is threatening to level the entire block! #8NN https://t.co/pEVtSf7Cyt",1
1564,bomb,shanghai,Bruh this sex on the beach??is bomb as fuck yo,0
2002,bush%20fires,London,If you like goats and dislike bush fires then this is probably the video for you http://t.co/93VacQM4b1,0
430,apocalypse,,I liked a @YouTube video http://t.co/2umSxRzot3 Zombie Apocalypse: The Rescue,0
3817,detonate,"charlotte, nc",Audio: Listen/purchase: Detonate (feat. M.O.P.) by Apollo Brown http://t.co/6ZSWtoKsif,0
